Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,1163/549120,wjp1o2,wjm1o2,wjp1o2,dwjm1o2,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,867/40040,wjm1o2,wjm1o6,wjp1o2,dwjm1o2,dwjm1o2
6561*(x - 1)**2*(x - 1/3)**3*(x + 1/3)*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,99279/2562560,wjm1o6,wjm1o6,wjp1o2,dwjm1o2,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-459/32032,wjp1o6,wjm1o6,wjp1o2,dwjm1o2,dwjm1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,3321/2562560,wjp1o2,wjm1o6,wjp1o2,dwjm1o2,dwjm1o2
2187*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-2703/320320,wjm1o2,wjp1o6,wjp1o2,dwjm1o2,dwjm1o2
-6561*(x - 1)**2*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,-459/32032,wjm1o6,wjp1o6,wjp1o2,dwjm1o2,dwjm1o2
6561*(x - 1)**2*(x - 1/3)*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,4509/640640,wjp1o6,wjp1o6,wjp1o2,dwjm1o2,dwjm1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,2799/1281280,wjp1o2,wjp1o6,wjp1o2,dwjm1o2,dwjm1o2
-729*(x - 1)*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,1163/549120,wjm1o2,wjp1o2,wjp1o2,dwjm1o2,dwjm1o2
2187*(x - 1)*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,3321/2562560,wjm1o6,wjp1o2,wjp1o2,dwjm1o2,dwjm1o2
-2187*(x - 1)*(x - 1/3)**2*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,2799/1281280,wjp1o6,wjp1o2,wjp1o2,dwjm1o2,dwjm1o2
729*(x - 1/3)**3*(x + 1/3)**3*(x + 1)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))**2/4096,-1,1,953/73216,wjp1o2,wjp1o2,wjp1o2,dwjm1o2,dwjm1o2
-729*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**3*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-1164861/1281280,wjm1o2,wjm1o2,wjm1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-885789/2562560,wjm1o6,wjm1o2,wjm1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,194697/1281280,wjp1o6,wjm1o2,wjm1o2,dwjm1o6,dwjm1o2
729*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**3*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-83751/2562560,wjp1o2,wjm1o2,wjm1o2,dwjm1o6,dwjm1o2
2187*(x - 1)**3*(x - 1/3)**3*(x + 1/3)**2*(x + 1)*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-885789/2562560,wjm1o2,wjm1o6,wjm1o2,dwjm1o6,dwjm1o2
-6561*(x - 1)**3*(x - 1/3)**3*(x + 1/3)*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-791451/2562560,wjm1o6,wjm1o6,wjm1o2,dwjm1o6,dwjm1o2
6561*(x - 1)**3*(x - 1/3)**2*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,321003/2562560,wjp1o6,wjm1o6,wjm1o2,dwjm1o6,dwjm1o2
-2187*(x - 1)**2*(x - 1/3)**3*(x + 1/3)**2*(x + 1)**2*((3/16 - 9*x/16)*(x + 1/3) + (9/16 - 9*x/16)*(x - 1/3) + (9/16 - 9*x/16)*(x + 1/3))*((x - 1)*(27*x/16 + 27/16) + (x - 1/3)*(27*x/16 - 27/16) + (x - 1/3)*(27*x/16 + 27/16))/4096,-1,1,-13203/512512,wjp1o2,wjm1o6,wjm1o2,dwjm1o6,dwjm1o2
