Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1
x*(1/2 - x/2)*(x - 1)/2,-1,1,1/3,psijm1o2p,phijm1o2
x*(x/2 + 1/2)*(x - 1)/2,-1,1,0,psijp1o2m,phijm1o2
-(1/2 - x/2)*(x - 1)*(x + 1),-1,1,2/3,psijm1o2p,phij
-(x/2 + 1/2)*(x - 1)*(x + 1),-1,1,2/3,psijp1o2m,phij
x*(1/2 - x/2)*(x + 1)/2,-1,1,0,psijm1o2p,phijp1o2
x*(x/2 + 1/2)*(x + 1)/2,-1,1,1/3,psijp1o2m,phijp1o2
